Ticker;Name;Type;Sector;Sub Sector;Segment
ALPK3;Estapar;Ação;Bens industriais;Serviços diversos;Serviços diversos
AALR3;Alliar;Ação;Saúde;Serviços médico-hospitalares análises e diagnósticos;Serviços médico-hospitalares análises e diagnósticos
NGRD3;Neogrid;Ação;Tecnologia da informação;Programas e serviços;Programas e serviços
KEPL3;Kepler Weber;Ação;Bens industriais;Máquinas e equipamentos;Máq. e equip. industriais
GPCP3;GPC Part;Ação;Materiais básicos;Químicos;Petroquímicos
GPCP4;GPC Part;Ação;Materiais básicos;Químicos;Petroquímicos
GFSA3;Gafisa;Ação;Consumo cíclico;Construção civil;Incorporações
EUCA3;Eucatex;Ação;Materiais básicos;Madeira e papel;Madeira
EUCA4;Eucatex;Ação;Materiais básicos;Madeira e papel;Madeira
PLPL3;Planoeplano;Ação;Consumo cíclico;Construção civil;Incorporações
MTRE3;Mitre;Ação;Consumo cíclico;Construção civil;Incorporações
POWE3;Focus ON;Ação;Utilidade pública;Energia elétrica;Energia elétrica
MELK3;Melnick;Ação;Consumo cíclico;Construção civil;Incorporações
BAZA3;Amazonia;Ação;Financeiro;Intermediários financeiros;Bancos
HBOR3;Helbor;Ação;Consumo cíclico;Construção civil;Incorporações
MEAL3;Imc S/A;Ação;Consumo cíclico;Hotéis e restaurantes;Restaurante e similares
BIOM3;Biomm;Ação;Saúde;Medicamentos e outros produtos;Medicamentos e outros produtos
CARD3;Csu Cardsyst;Ação;Bens industriais;Serviços diversos;Serviços diversos
BMEB4;Merc Brasil;Ação;Financeiro;Intermediários financeiros;Bancos
NINJ3;Getninjas;Ação;Tecnologia da informação;Programas e serviços;Programas e serviços
PFRM3;Profarma;Ação;Saúde;Comércio e distribuição;Medicamentos e outros produtos
APER3;Alper S.A.;Ação;Financeiro;Previdência e seguros;Corretoras de seguros
PMAM3;Paranapanema;Ação;Materiais básicos;Siderurgia e metalurgia;Artefatos de cobre
MDNE3;Moura Dubeux;Ação;Consumo cíclico;Construção civil;Incorporações
SGPS3;Springs;Ação;Consumo cíclico;Tecidos vestuário e calçados;Fios e tecidos
CGRA4;Grazziotin;Ação;Consumo cíclico;Comércio;Tecidos vestuário e calçados
PDTC3;Padtec;Ação;Financeiro;Serviços financeiros diversos;Serviços financeiros diversos
G2DI33;G2d Invest;Ação;Financeiro;Serviços financeiros diversos;Gestão de recursos e investimentos
LPSB3;Lopes Brasil;Ação;Financeiro;Exploração de imóveis;Intermediação imobiliária
BOBR4;Bombril;Ação;Consumo não cíclico;Produtos de uso pessoal e de limpeza;Produtos de limpeza
AVLL3;Alphaville;Ação;Consumo cíclico;Construção civil;Incorporações
GPIV33;GP Invest;Ação;Financeiro;Serviços financeiros diversos;Gestão de recursos e investimentos
INEP3;Inepar;Ação;Bens industriais;Máquinas e equipamentos;Máq. e equip. industriais
INEP4;Inepar;Ação;Bens industriais;Máquinas e equipamentos;Máq. e equip. industriais
DMVF3;D1000vfarma;Ação;Saúde;Comércio e distribuição;Medicamentos e outros produtos
RDNI3;Rni;Ação;Consumo cíclico;Construção civil;Incorporações
PINE4;Pine;Ação;Financeiro;Intermediários financeiros;Bancos
MTSA4;Metisa;Ação;Bens industriais;Máquinas e equipamentos;Máq. e equip. construção e agrícolas
RNEW4;Renova;Ação;Utilidade pública;Energia elétrica;Energia elétrica
RNEW11;Renova;Ação;Utilidade pública;Energia elétrica;Energia elétrica
MERC4;Merc Financ;Ação;Financeiro;Intermediários financeiros;Soc. crédito e financiamento
PTNT3;Pettenati;Ação;Consumo cíclico;Tecidos vestuário e calçados;Fios e tecidos
PTNT4;Pettenati;Ação;Consumo cíclico;Tecidos vestuário e calçados;Fios e tecidos
PRNR3;Priner;Ação;Bens industriais;Serviços diversos;Serviços diversos
RPMG3;Pet Manguinh;Ação;Petróleo gás e biocombustíveis;Petróleo gás e biocombustíveis;Exploração refino e distribuição
BTTL3;Battistella;Ação;Bens industriais;Comércio;Material de transporte
CTNM3;Coteminas;Ação;Consumo cíclico;Tecidos vestuário e calçados;Fios e tecidos
CTNM4;Coteminas;Ação;Consumo cíclico;Tecidos vestuário e calçados;Fios e tecidos
RCSL3;Recrusul;Ação;Bens industriais;Material de transporte;Material rodoviário
RCSL4;Recrusul;Ação;Bens industriais;Material de transporte;Material rodoviário
LLIS3;Le Lis Blanc;Ação;Consumo cíclico;Comércio;Tecidos vestuário e calçados
DMMO3;Dommo;Ação;Petróleo gás e biocombustíveis;Petróleo gás e biocombustíveis;Exploração refino e distribuição
CTSA3;Santanense;Ação;Consumo cíclico;Tecidos vestuário e calçados;Fios e tecidos
CTSA4;Santanense;Ação;Consumo cíclico;Tecidos vestuário e calçados;Fios e tecidos
CAMB3;Cambuci;Ação;Consumo cíclico;Tecidos vestuário e calçados;Calçados
ATMP3;Atmasa;Ação;Bens industriais;Serviços diversos;Serviços diversos
EALT4;Aco Altona;Ação;Bens industriais;Máquinas e equipamentos;Máq. e equip. industriais
