Ticker;Name;Country;Type;Sector;Sub Sector;Segment
AMBP3;Ambipar;Brazil;Ação;Utilidade pública;Água e saneamento;Água e saneamento
GEPA4;Ger Paranap;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
SEQL3;Sequoia Log;Brazil;Ação;Bens industriais;Serviços diversos;Serviços diversos
AGRO3;Brasilagro;Brazil;Ação;Consumo não cíclico;Agropecuária;Agricultura
EMAE4;Emae;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
LOGG3;Log Com Prop;Brazil;Ação;Financeiro;Exploração de imóveis;Exploração de imóveis
JSLG3;JSL;Brazil;Ação;Bens industriais;Transporte;Transporte rodoviário
PNVL3;Dimed;Brazil;Ação;Saúde;Comércio e distribuição;Medicamentos e outros produtos
PNVL4;Dimed;Brazil;Ação;Saúde;Comércio e distribuição;Medicamentos e outros produtos
BKBR3;Bk Brasil;Brazil;Ação;Consumo cíclico;Hotéis e restaurantes;Restaurante e similares
BMGB4;Banco BMG;Brazil;Ação;Financeiro;Intermediários financeiros;Bancos
CEBR3;Ceb;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
CEBR5;Ceb;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
CEBR6;Ceb;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
SMLS3;Smiles;Brazil;Ação;Consumo cíclico;Diversos;Programas de fidelização
CURY3;Cury S/A;Brazil;Ação;Consumo cíclico;Construção civil;Incorporações
PARD3;Ihpardini;Brazil;Ação;Saúde;Serviços médico-hospitalares análises e diagnósticos;Serviços médico-hospitalares análises e diagnósticos
ELMD3;Eletromidia;Brazil;Ação;Comunicações;Mídia;Publicidade e propaganda
CLSC4;Celesc;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
JALL3;Jallesmachad;Brazil;Ação;Consumo não cíclico;Alimentos processados;Açúcar e álcool
JPSA3;Jereissati;Brazil;Ação;Financeiro;Exploração de imóveis;Exploração de imóveis
FRAS3;Fras-Le;Brazil;Ação;Bens industriais;Material de transporte;Material rodoviário
MYPK3;Iochp-Maxion;Brazil;Ação;Consumo cíclico;Automóveis e motocicletas;Automóveis e motocicletas
MOSI3;Mosaico SA;Brazil;Ação;Tecnologia da informação;Programas e serviços;Programas e serviços
POMO3;Marcopolo;Brazil;Ação;Bens industriais;Material de transporte;Material rodoviário
POMO4;Marcopolo;Brazil;Ação;Bens industriais;Material de transporte;Material rodoviário
SCAR3;Sao Carlos;Brazil;Ação;Financeiro;Exploração de imóveis;Exploração de imóveis
EVEN3;Even;Brazil;Ação;Consumo cíclico;Construção civil;Incorporações
RANI3;Irani;Brazil;Ação;Materiais básicos;Madeira e papel;Papel e celulose
ROMI3;Inds Romi;Brazil;Ação;Bens industriais;Máquinas e equipamentos;Máq. e equip. industriais
PTBL3;Portobello;Brazil;Ação;Bens industriais;Construção e engenharia;Produtos para construção
ENJU3;Enjoei;Brazil;Ação;Tecnologia da informação;Programas e serviços;Programas e serviços
CRPG5;Cristal;Brazil;Ação;Materiais básicos;Químicos;Químicos diversos
CRPG6;Cristal;Brazil;Ação;Materiais básicos;Químicos;Químicos diversos
LOGN3;Log-In;Brazil;Ação;Bens industriais;Transporte;Transporte hidroviário
DIRR3;Direcional;Brazil;Ação;Consumo cíclico;Construção civil;Incorporações
BMOB3;Bemobi Tech;Brazil;Ação;Tecnologia da informação;Programas e serviços;Programas e serviços
OFSA3;Ourofino S/A;Brazil;Ação;Saúde;Medicamentos e outros produtos;Medicamentos e outros produtos
SEER3;Ser Educa;Brazil;Ação;Consumo cíclico;Diversos;Serviços educacionais
MILS3;Mills;Brazil;Ação;Bens industriais;Construção e engenharia;Serviços diversos
AMAR3;Lojas Marisa;Brazil;Ação;Consumo cíclico;Comércio;Tecidos vestuário e calçados
CCPR3;Cyre Com-Ccp;Brazil;Ação;Financeiro;Exploração de imóveis;Exploração de imóveis
POSI3;Positivo Tec;Brazil;Ação;Tecnologia da informação;Computadores e equipamentos;Computadores e equipamentos
SHUL4;Schulz;Brazil;Ação;Bens industriais;Máquinas e equipamentos;Motores compressores e outros
ORVR3;Orizon;Brazil;Ação;Utilidade pública;Água e saneamento;Água e saneamento
SOJA3;Boa Safra;Brazil;Ação;Consumo não cíclico;Agropecuária;Agricultura
MBLY3;Mobly;Brazil;Ação;Tecnologia da informação;Programas e serviços;Programas e serviços
LAVV3;Lavvi;Brazil;Ação;Consumo cíclico;Construção civil;Incorporações
DOTZ3;Dotz SA;Brazil;Ação;Consumo cíclico;Diversos;Programas de fidelização
BEES3;Banestes;Brazil;Ação;Financeiro;Intermediários financeiros;Bancos
HBRE3;Hbr Realty;Brazil;Ação;Financeiro;Exploração de imóveis;Exploração de imóveis
FHER3;Fer Heringer;Brazil;Ação;Materiais básicos;Químicos;Fertilizantes e defensivos
OPCT3;Oceanpact;Brazil;Ação;Petróleo gás e biocombustíveis;Petróleo gás e biocombustíveis;Equipamentos e serviços
ALLD3;Allied;Brazil;Ação;Consumo cíclico;Comércio;Eletrodomésticos
ETER3;Eternit;Brazil;Ação;Bens industriais;Construção e engenharia;Produtos para construção
SQIA3;Sinqia;Brazil;Ação;Tecnologia da informação;Programas e serviços;Programas e serviços
DOHL4;Dohler;Brazil;Ação;Consumo cíclico;Tecidos vestuário e calçados;Fios e tecidos
ALPK3;Estapar;Brazil;Ação;Bens industriais;Serviços diversos;Serviços diversos
AALR3;Alliar;Brazil;Ação;Saúde;Serviços médico-hospitalares análises e diagnósticos;Serviços médico-hospitalares análises e diagnósticos
NGRD3;Neogrid;Brazil;Ação;Tecnologia da informação;Programas e serviços;Programas e serviços
KEPL3;Kepler Weber;Brazil;Ação;Bens industriais;Máquinas e equipamentos;Máq. e equip. industriais
GPCP3;GPC Part;Brazil;Ação;Materiais básicos;Químicos;Petroquímicos
GPCP4;GPC Part;Brazil;Ação;Materiais básicos;Químicos;Petroquímicos
GFSA3;Gafisa;Brazil;Ação;Consumo cíclico;Construção civil;Incorporações
EUCA3;Eucatex;Brazil;Ação;Materiais básicos;Madeira e papel;Madeira
EUCA4;Eucatex;Brazil;Ação;Materiais básicos;Madeira e papel;Madeira
PLPL3;Planoeplano;Brazil;Ação;Consumo cíclico;Construção civil;Incorporações
MTRE3;Mitre;Brazil;Ação;Consumo cíclico;Construção civil;Incorporações
POWE3;Focus ON;Brazil;Ação;Utilidade pública;Energia elétrica;Energia elétrica
MELK3;Melnick;Brazil;Ação;Consumo cíclico;Construção civil;Incorporações
BAZA3;Amazonia;Brazil;Ação;Financeiro;Intermediários financeiros;Bancos
HBOR3;Helbor;Brazil;Ação;Consumo cíclico;Construção civil;Incorporações
MEAL3;Imc S/A;Brazil;Ação;Consumo cíclico;Hotéis e restaurantes;Restaurante e similares
BIOM3;Biomm;Brazil;Ação;Saúde;Medicamentos e outros produtos;Medicamentos e outros produtos
CARD3;Csu Cardsyst;Brazil;Ação;Bens industriais;Serviços diversos;Serviços diversos
BMEB4;Merc Brasil;Brazil;Ação;Financeiro;Intermediários financeiros;Bancos
NINJ3;Getninjas;Brazil;Ação;Tecnologia da informação;Programas e serviços;Programas e serviços
PFRM3;Profarma;Brazil;Ação;Saúde;Comércio e distribuição;Medicamentos e outros produtos
APER3;Alper S.A.;Brazil;Ação;Financeiro;Previdência e seguros;Corretoras de seguros
PMAM3;Paranapanema;Brazil;Ação;Materiais básicos;Siderurgia e metalurgia;Artefatos de cobre
MDNE3;Moura Dubeux;Brazil;Ação;Consumo cíclico;Construção civil;Incorporações
SGPS3;Springs;Brazil;Ação;Consumo cíclico;Tecidos vestuário e calçados;Fios e tecidos
CGRA4;Grazziotin;Brazil;Ação;Consumo cíclico;Comércio;Tecidos vestuário e calçados
PDTC3;Padtec;Brazil;Ação;Financeiro;Serviços financeiros diversos;Serviços financeiros diversos
G2DI33;G2d Invest;Brazil;Ação;Financeiro;Serviços financeiros diversos;Gestão de recursos e investimentos
LPSB3;Lopes Brasil;Brazil;Ação;Financeiro;Exploração de imóveis;Intermediação imobiliária
BOBR4;Bombril;Brazil;Ação;Consumo não cíclico;Produtos de uso pessoal e de limpeza;Produtos de limpeza
AVLL3;Alphaville;Brazil;Ação;Consumo cíclico;Construção civil;Incorporações
GPIV33;GP Invest;Brazil;Ação;Financeiro;Serviços financeiros diversos;Gestão de recursos e investimentos
INEP3;Inepar;Brazil;Ação;Bens industriais;Máquinas e equipamentos;Máq. e equip. industriais
INEP4;Inepar;Brazil;Ação;Bens industriais;Máquinas e equipamentos;Máq. e equip. industriais
DMVF3;D1000vfarma;Brazil;Ação;Saúde;Comércio e distribuição;Medicamentos e outros produtos
RDNI3;Rni;Brazil;Ação;Consumo cíclico;Construção civil;Incorporações
PINE4;Pine;Brazil;Ação;Financeiro;Intermediários financeiros;Bancos
