Ticker;Name;Country;Type;Sector;Sub Sector;Segment
AGC;Altimeter Growth Corp. Class A Ordinary Shares;United States;;Finance;;Business Services
AGCB;Altimeter Growth Corp. 2 Class A Ordinary Shares;;;Finance;;Business Services
AGCO;AGCO Corporation Common Stock;United States;;Capital Goods;;Industrial Machinery/Components
AGCUU;Altimeter Growth Corp. Unit;United States;;Finance;;Business Services
AGCWW;Altimeter Growth Corp. Warrant;United States;;Finance;;Business Services
AGD;Aberdeen Global Dynamic Dividend Fund;United States;;;;
AGE;AgeX Therapeutics Inc. Common Stock;;;Health Care;;Major Pharmaceuticals
AGEN;Agenus Inc. Common Stock;United States;;Health Care;;Biotechnology: Biological Products (No Diagnostic Substances)
AGFS;AgroFresh Solutions Inc. Common Stock;United States;;Basic Industries;;Major Chemicals
AGFY;Agrify Corporation Common Stock;United States;;Finance;;Diversified Commercial Services
AGGR;Agile Growth Corp. Class A Ordinary Share;United States;;Finance;;Business Services
AGGRU;Agile Growth Corp. Units;United States;;Finance;;Business Services
AGGRW;Agile Growth Corp. Warrant.;United States;;Finance;;Business Services
AGI;Alamos Gold Inc. Class A Common Shares;Canada;;Basic Industries;;Precious Metals
AGIO;Agios Pharmaceuticals Inc. Common Stock;United States;;Health Care;;Major Pharmaceuticals
AGL;agilon health inc. Common Stock;;;Health Care;;Managed Health Care
AGLE;Aeglea BioTherapeutics Inc. Common Stock;United States;;Health Care;;Major Pharmaceuticals
AGM;Federal Agricultural Mortgage Corporation Common Stock;United States;;Finance;;Finance Companies
AGM^C;Federal Agricultural Mortgage Corporation Preferred Series C Fixed to Fltg;United States;;;;
AGM^D;Federal Agricultural Mortgage Corporation 5.700% Non-Cumulative Preferred Stock Series D;United States;;;;
AGM^E;Federal Agricultural Mortgage Corporation 5.750% Non-Cumulative Preferred Stock Series E;United States;;;;
AGM^F;Federal Agricultural Mortgage Corporation 5.250% Non-Cumulative Preferred Stock Series F;United States;;;;
AGM^G;Federal Agricultural Mortgage Corporation 4.875% Non-Cumulative Preferred Stock Series G;United States;;;;
AGMH;AGM Group Holdings Inc. Class A Ordinary Shares;Hong Kong;;Technology;;EDP Services
AGNC;AGNC Investment Corp. Common Stock;United States;;Consumer Services;;Real Estate Investment Trusts
AGNCM;AGNC Investment Corp. Depositary Shares rep 6.875% Series D Fixed-to-Floating Cumulative Redeemable Preferred Stock;United States;;Consumer Services;;Real Estate Investment Trusts
AGNCN;AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 7.00% Series C Fixed-To-Floating Rate Cumulative Redeemable Preferred Stock;United States;;Consumer Services;;Real Estate Investment Trusts
AGNCO;AGNC Investment Corp. Depositary Shares each representing a 1/1000th interest in a share of 6.50% Series E Fixed-to-Floating Cumulative Redeemable Preferred Stock;United States;;Consumer Services;;Real Estate Investment Trusts
AGNCP;AGNC Investment Corp. Depositary Shares Each Representing a 1/1000th Interest in a Share of 6.125% Series F Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock;United States;;Consumer Services;;Real Estate Investment Trusts
AGO;Assured Guaranty Ltd. Common Stock;Bermuda;;Finance;;Property-Casualty Insurers
AGO^B;Assured Guaranty Ltd.;Bermuda;;;;
AGO^E;Assured Guaranty Ltd.;Bermuda;;;;
AGO^F;Assured Guaranty Ltd.;Bermuda;;;;
AGR;Avangrid Inc. Common Stock;United States;;Public Utilities;;Electric Utilities: Central
AGRO;Adecoagro S.A. Common Shares;Luxembourg;;;;
AGRX;Agile Therapeutics Inc. Common Stock;United States;;Health Care;;Major Pharmaceuticals
AGS;PlayAGS Inc. Common Stock;United States;;Consumer Services;;Recreational Products/Toys
AGTC;Applied Genetic Technologies Corporation Common Stock;United States;;Health Care;;Biotechnology: Biological Products (No Diagnostic Substances)
AGTI;Agiliti Inc. Common Stock;;;Health Care;;Managed Health Care
AGX;Argan Inc. Common Stock;United States;;Capital Goods;;Oilfield Services/Equipment
AGYS;Agilysys Inc. Common Stock;United States;;Technology;;Computer Software: Prepackaged Software
AHAC;Alpha Healthcare Acquisition Corp. Class A Common Stock;United States;;Health Care;;Biotechnology: Biological Products (No Diagnostic Substances)
AHACU;Alpha Healthcare Acquisition Corp. Unit;United States;;;;
AHACW;Alpha Healthcare Acquisition Corp. Warrant;United States;;Finance;;Business Services
AHC;A.H. Belo Corporation (TX) Common Stock;United States;;Consumer Services;;Newspapers/Magazines
AHCO;AdaptHealth Corp. Class A Common Stock;United States;;Health Care;;Biotechnology: Electromedical & Electrotherapeutic Apparatus
AHH;Armada Hoffler Properties Inc. Common Stock;United States;;Consumer Services;;Real Estate Investment Trusts
AHH^A;Armada Hoffler Properties Inc. 6.75% Series A Cumulative Redeemable Perpetual Preferred Stock;United States;;;;
AHL^C;Aspen Insurance Holdings Limited 5.95% Fixed-to-Floating Rate Perpetual Non-Cumulative Preference Shares;Bermuda;;;;
AHL^D;Aspen Insurance Holdings Limited 5.625% Perpetual Non-Cumulative Preference Shares;Bermuda;;;;
AHL^E;Aspen Insurance Holdings Limited Depositary Shares each representing a 1/1000th interest in a share of 5.625% Perpetual Non-Cumulative Preference Shares;Bermuda;;;;
AHPI;Allied Healthcare Products Inc. Common Stock;United States;;Health Care;;Industrial Specialties
AHT;Ashford Hospitality Trust Inc Common Stock;United States;;Consumer Services;;Real Estate Investment Trusts
AHT^D;Ashford Hospitality Trust Inc 8.45% Series D Cumulative Preferred Stock;United States;;;;
AHT^F;Ashford Hospitality Trust Inc 7.375% Series F Cumulative Preferred Stock;United States;;;;
AHT^G;Ashford Hospitality Trust Inc 7.375% Series G Cumulative Preferred Stock;United States;;;;
AHT^H;Ashford Hospitality Trust Inc 7.50% Series H Cumulative Preferred Stock;United States;;;;
AHT^I;Ashford Hospitality Trust Inc 7.50% Series I Cumulative Preferred Stock;United States;;;;
AI;C3.ai Inc. Class A Common Stock;;;Technology;;Computer Software: Prepackaged Software
AIC;Arlington Asset Investment Corp 6.750% Notes due 2025;United States;;Finance;;Finance/Investors Services
AIF;Apollo Tactical Income Fund Inc. Common Stock;;;;;
AIG;American International Group Inc. New Common Stock;United States;;Finance;;Life Insurance
AIG^A;American International Group Inc. Depositary Shares Each Representing a 1/1000th Interest in a Share of Series A 5.85% Non-Cumulative Perpetual Preferred Stock;United States;;;;
AIH;Aesthetic Medical International Holdings Group Ltd. American Depositary Shares;China;;Health Care;;Medical Specialities
AIHS;Senmiao Technology Limited Common Stock;China;;Finance;;Finance: Consumer Services
AIKI;AIkido Pharma Inc. Common Stock;United States;;Consumer Durables;;Specialty Chemicals
